"label","Q","bandwidth","deltaD_parity","radial_max","radial_above_0p1","coef_bound_parity","radial_bound_corrected","corrected_note","corrected_available"
"dense_Q_0.660000",0.66,0.5,179.262870381265,0.111322526462462,TRUE,"|a|,|b|<=0.1","sqrt(a^2+b^2)<=0.1","PARITY radial exceeds 0.1; corrected refit (event-level) would reduce deltaD",FALSE
"dense_Q_0.655000",0.655,0.5,179.999326070017,0.11086600762055,TRUE,"|a|,|b|<=0.1","sqrt(a^2+b^2)<=0.1","PARITY radial exceeds 0.1; corrected refit (event-level) would reduce deltaD",FALSE
"low_bw_empirical",0.65,0.5,180.513089650645,0.109654143064878,TRUE,"|a|,|b|<=0.1","sqrt(a^2+b^2)<=0.1","PARITY radial exceeds 0.1; corrected refit (event-level) would reduce deltaD",FALSE
"dense_Q_0.645000",0.645,0.5,179.627920819748,0.10809472374259,TRUE,"|a|,|b|<=0.1","sqrt(a^2+b^2)<=0.1","PARITY radial exceeds 0.1; corrected refit (event-level) would reduce deltaD",FALSE
"dense_Q_0.640000",0.64,0.5,176.613491614865,0.106845449178713,TRUE,"|a|,|b|<=0.1","sqrt(a^2+b^2)<=0.1","PARITY radial exceeds 0.1; corrected refit (event-level) would reduce deltaD",FALSE
"dense_Q_0.635000",0.635,0.5,171.734132534562,0.106397803064417,TRUE,"|a|,|b|<=0.1","sqrt(a^2+b^2)<=0.1","PARITY radial exceeds 0.1; corrected refit (event-level) would reduce deltaD",FALSE
"quark_like",0.63026,0.5,166.440636294203,0.106779356505747,TRUE,"|a|,|b|<=0.1","sqrt(a^2+b^2)<=0.1","PARITY radial exceeds 0.1; corrected refit (event-level) would reduce deltaD",FALSE
"dense_Q_0.630000",0.63,0.5,166.158477054494,0.106818451599942,TRUE,"|a|,|b|<=0.1","sqrt(a^2+b^2)<=0.1","PARITY radial exceeds 0.1; corrected refit (event-level) would reduce deltaD",FALSE
"dense_Q_0.625000",0.625,0.5,161.428409248329,0.107743625141205,TRUE,"|a|,|b|<=0.1","sqrt(a^2+b^2)<=0.1","PARITY radial exceeds 0.1; corrected refit (event-level) would reduce deltaD",FALSE
"dense_Q_0.620000",0.62,0.5,158.672812705675,0.108598758637331,TRUE,"|a|,|b|<=0.1","sqrt(a^2+b^2)<=0.1","PARITY radial exceeds 0.1; corrected refit (event-level) would reduce deltaD",FALSE
"dense_Q_0.615000",0.615,0.5,158.040950765285,0.109065422517418,TRUE,"|a|,|b|<=0.1","sqrt(a^2+b^2)<=0.1","PARITY radial exceeds 0.1; corrected refit (event-level) would reduce deltaD",FALSE
"dense_Q_0.610000",0.61,0.5,158.93112570588,0.109252003537334,TRUE,"|a|,|b|<=0.1","sqrt(a^2+b^2)<=0.1","PARITY radial exceeds 0.1; corrected refit (event-level) would reduce deltaD",FALSE
"dense_Q_0.605000",0.605,0.5,160.566217305251,0.109478974109814,TRUE,"|a|,|b|<=0.1","sqrt(a^2+b^2)<=0.1","PARITY radial exceeds 0.1; corrected refit (event-level) would reduce deltaD",FALSE
"dense_Q_0.600000",0.6,0.5,162.175079200337,0.109890567226469,TRUE,"|a|,|b|<=0.1","sqrt(a^2+b^2)<=0.1","PARITY radial exceeds 0.1; corrected refit (event-level) would reduce deltaD",FALSE
"dense_Q_0.595000",0.595,0.5,163.028831511105,0.110332490068141,TRUE,"|a|,|b|<=0.1","sqrt(a^2+b^2)<=0.1","PARITY radial exceeds 0.1; corrected refit (event-level) would reduce deltaD",FALSE
"dense_Q_0.590000",0.59,0.5,162.669923719226,0.11052533423061,TRUE,"|a|,|b|<=0.1","sqrt(a^2+b^2)<=0.1","PARITY radial exceeds 0.1; corrected refit (event-level) would reduce deltaD",FALSE
"dense_Q_0.585000",0.585,0.5,160.914036976419,0.110307613649838,TRUE,"|a|,|b|<=0.1","sqrt(a^2+b^2)<=0.1","PARITY radial exceeds 0.1; corrected refit (event-level) would reduce deltaD",FALSE
"dense_Q_0.580000",0.58,0.5,157.739344502455,0.109827559751185,TRUE,"|a|,|b|<=0.1","sqrt(a^2+b^2)<=0.1","PARITY radial exceeds 0.1; corrected refit (event-level) would reduce deltaD",FALSE
"dense_Q_0.575000",0.575,0.5,153.509195915459,0.109422105945078,TRUE,"|a|,|b|<=0.1","sqrt(a^2+b^2)<=0.1","PARITY radial exceeds 0.1; corrected refit (event-level) would reduce deltaD",FALSE
"dense_Q_0.570000",0.57,0.5,149.18797825545,0.109336212067169,TRUE,"|a|,|b|<=0.1","sqrt(a^2+b^2)<=0.1","PARITY radial exceeds 0.1; corrected refit (event-level) would reduce deltaD",FALSE
"dense_Q_0.565000",0.565,0.5,146.151679314926,0.109516901061793,TRUE,"|a|,|b|<=0.1","sqrt(a^2+b^2)<=0.1","PARITY radial exceeds 0.1; corrected refit (event-level) would reduce deltaD",FALSE
"dense_Q_0.560000",0.56,0.5,145.747991678331,0.109612614081672,TRUE,"|a|,|b|<=0.1","sqrt(a^2+b^2)<=0.1","PARITY radial exceeds 0.1; corrected refit (event-level) would reduce deltaD",FALSE
"dense_Q_0.555000",0.555,0.5,148.70533991347,0.109298301672248,TRUE,"|a|,|b|<=0.1","sqrt(a^2+b^2)<=0.1","PARITY radial exceeds 0.1; corrected refit (event-level) would reduce deltaD",FALSE
"dense_Q_0.550000",0.55,0.5,154.627241253334,0.108634798156919,TRUE,"|a|,|b|<=0.1","sqrt(a^2+b^2)<=0.1","PARITY radial exceeds 0.1; corrected refit (event-level) would reduce deltaD",FALSE
"spin1_Qhalf",0.5,0.5,127.01228080617,0.0883905382305871,FALSE,"|a|,|b|<=0.1","sqrt(a^2+b^2)<=0.1","within 0.1; parity==corrected at amplitude level",FALSE
"spin32_Q4over9",0.444444444444444,0.5,234.658915677572,0.102202832199861,TRUE,"|a|,|b|<=0.1","sqrt(a^2+b^2)<=0.1","PARITY radial exceeds 0.1; corrected refit (event-level) would reduce deltaD",FALSE
"neutrino_like_Qthird",0.333333333333333,0.5,206.108012947335,0.111313194209033,TRUE,"|a|,|b|<=0.1","sqrt(a^2+b^2)<=0.1","PARITY radial exceeds 0.1; corrected refit (event-level) would reduce deltaD",FALSE
"threshold_Q1",1,0.75,134.485911014707,0.0665477761246681,FALSE,"|a|,|b|<=0.1","sqrt(a^2+b^2)<=0.1","within 0.1; parity==corrected at amplitude level",FALSE
"near_075",0.75,0.75,336.143123985668,0.13347887921232,TRUE,"|a|,|b|<=0.1","sqrt(a^2+b^2)<=0.1","PARITY radial exceeds 0.1; corrected refit (event-level) would reduce deltaD",FALSE
"dense_Q_0.745000",0.745,0.75,342.794069507039,0.134150506241814,TRUE,"|a|,|b|<=0.1","sqrt(a^2+b^2)<=0.1","PARITY radial exceeds 0.1; corrected refit (event-level) would reduce deltaD",FALSE
"dense_Q_0.740000",0.74,0.75,347.042771276169,0.14142135623731,TRUE,"|a|,|b|<=0.1","sqrt(a^2+b^2)<=0.1","PARITY radial exceeds 0.1; corrected refit (event-level) would reduce deltaD",FALSE
"dense_Q_0.735000",0.735,0.75,338.425910826109,0.137680056029688,TRUE,"|a|,|b|<=0.1","sqrt(a^2+b^2)<=0.1","PARITY radial exceeds 0.1; corrected refit (event-level) would reduce deltaD",FALSE
"dense_Q_0.730000",0.73,0.75,327.527305676244,0.139013133045264,TRUE,"|a|,|b|<=0.1","sqrt(a^2+b^2)<=0.1","PARITY radial exceeds 0.1; corrected refit (event-level) would reduce deltaD",FALSE
"dense_Q_0.725000",0.725,0.75,320.230862741537,0.136422897678933,TRUE,"|a|,|b|<=0.1","sqrt(a^2+b^2)<=0.1","PARITY radial exceeds 0.1; corrected refit (event-level) would reduce deltaD",FALSE
"dense_Q_0.720000",0.72,0.75,318.377228373028,0.132875879632705,TRUE,"|a|,|b|<=0.1","sqrt(a^2+b^2)<=0.1","PARITY radial exceeds 0.1; corrected refit (event-level) would reduce deltaD",FALSE
"dense_Q_0.715000",0.715,0.75,321.683440173276,0.130637104867062,TRUE,"|a|,|b|<=0.1","sqrt(a^2+b^2)<=0.1","PARITY radial exceeds 0.1; corrected refit (event-level) would reduce deltaD",FALSE
"dense_Q_0.710000",0.71,0.75,327.131040135939,0.131142755893017,TRUE,"|a|,|b|<=0.1","sqrt(a^2+b^2)<=0.1","PARITY radial exceeds 0.1; corrected refit (event-level) would reduce deltaD",FALSE
"dense_Q_0.705000",0.705,0.75,329.802734081499,0.14142135623731,TRUE,"|a|,|b|<=0.1","sqrt(a^2+b^2)<=0.1","PARITY radial exceeds 0.1; corrected refit (event-level) would reduce deltaD",FALSE
"dense_Q_0.700000",0.7,0.75,325.710902403584,0.137887769612974,TRUE,"|a|,|b|<=0.1","sqrt(a^2+b^2)<=0.1","PARITY radial exceeds 0.1; corrected refit (event-level) would reduce deltaD",FALSE
"dense_Q_0.695000",0.695,0.75,320.927538191382,0.135129979159245,TRUE,"|a|,|b|<=0.1","sqrt(a^2+b^2)<=0.1","PARITY radial exceeds 0.1; corrected refit (event-level) would reduce deltaD",FALSE
"dense_Q_0.690000",0.69,0.75,317.326350366286,0.133034824601627,TRUE,"|a|,|b|<=0.1","sqrt(a^2+b^2)<=0.1","PARITY radial exceeds 0.1; corrected refit (event-level) would reduce deltaD",FALSE
"dense_Q_0.685000",0.685,0.75,315.275089955647,0.131979276800277,TRUE,"|a|,|b|<=0.1","sqrt(a^2+b^2)<=0.1","PARITY radial exceeds 0.1; corrected refit (event-level) would reduce deltaD",FALSE
"dense_Q_0.680000",0.68,0.75,314.345195415927,0.132137019834738,TRUE,"|a|,|b|<=0.1","sqrt(a^2+b^2)<=0.1","PARITY radial exceeds 0.1; corrected refit (event-level) would reduce deltaD",FALSE
"dense_Q_0.675000",0.675,0.75,313.686940708067,0.133372022855395,TRUE,"|a|,|b|<=0.1","sqrt(a^2+b^2)<=0.1","PARITY radial exceeds 0.1; corrected refit (event-level) would reduce deltaD",FALSE
"dense_Q_0.670000",0.67,0.75,312.253044009537,0.135088069779131,TRUE,"|a|,|b|<=0.1","sqrt(a^2+b^2)<=0.1","PARITY radial exceeds 0.1; corrected refit (event-level) would reduce deltaD",FALSE
"koide_lepton",0.666666666666667,0.75,310.320098806605,0.135715023776346,TRUE,"|a|,|b|<=0.1","sqrt(a^2+b^2)<=0.1","PARITY radial exceeds 0.1; corrected refit (event-level) would reduce deltaD",FALSE
"dense_Q_0.665000",0.665,0.75,309.352846695201,0.135411899368242,TRUE,"|a|,|b|<=0.1","sqrt(a^2+b^2)<=0.1","PARITY radial exceeds 0.1; corrected refit (event-level) would reduce deltaD",FALSE
"dense_Q_0.660000",0.66,0.75,307.490499348633,0.134312239838603,TRUE,"|a|,|b|<=0.1","sqrt(a^2+b^2)<=0.1","PARITY radial exceeds 0.1; corrected refit (event-level) would reduce deltaD",FALSE
"dense_Q_0.655000",0.655,0.75,306.86131036952,0.132605552578974,TRUE,"|a|,|b|<=0.1","sqrt(a^2+b^2)<=0.1","PARITY radial exceeds 0.1; corrected refit (event-level) would reduce deltaD",FALSE
"low_bw_empirical",0.65,0.75,306.250642888069,0.130438425346109,TRUE,"|a|,|b|<=0.1","sqrt(a^2+b^2)<=0.1","PARITY radial exceeds 0.1; corrected refit (event-level) would reduce deltaD",FALSE
"dense_Q_0.645000",0.645,0.75,304.287967305073,0.129261010310355,TRUE,"|a|,|b|<=0.1","sqrt(a^2+b^2)<=0.1","PARITY radial exceeds 0.1; corrected refit (event-level) would reduce deltaD",FALSE
"dense_Q_0.640000",0.64,0.75,299.868088075936,0.128187390925335,TRUE,"|a|,|b|<=0.1","sqrt(a^2+b^2)<=0.1","PARITY radial exceeds 0.1; corrected refit (event-level) would reduce deltaD",FALSE
"dense_Q_0.635000",0.635,0.75,292.567773861443,0.127643768900989,TRUE,"|a|,|b|<=0.1","sqrt(a^2+b^2)<=0.1","PARITY radial exceeds 0.1; corrected refit (event-level) would reduce deltaD",FALSE
"quark_like",0.63026,0.75,284.470533075943,0.127379714639568,TRUE,"|a|,|b|<=0.1","sqrt(a^2+b^2)<=0.1","PARITY radial exceeds 0.1; corrected refit (event-level) would reduce deltaD",FALSE
"dense_Q_0.630000",0.63,0.75,284.028152149932,0.127377046989594,TRUE,"|a|,|b|<=0.1","sqrt(a^2+b^2)<=0.1","PARITY radial exceeds 0.1; corrected refit (event-level) would reduce deltaD",FALSE
"dense_Q_0.625000",0.625,0.75,276.276523665839,0.127470046314692,TRUE,"|a|,|b|<=0.1","sqrt(a^2+b^2)<=0.1","PARITY radial exceeds 0.1; corrected refit (event-level) would reduce deltaD",FALSE
"dense_Q_0.620000",0.62,0.75,271.012878319283,0.127553018218945,TRUE,"|a|,|b|<=0.1","sqrt(a^2+b^2)<=0.1","PARITY radial exceeds 0.1; corrected refit (event-level) would reduce deltaD",FALSE
"dense_Q_0.615000",0.615,0.75,268.813627310448,0.127344958455753,TRUE,"|a|,|b|<=0.1","sqrt(a^2+b^2)<=0.1","PARITY radial exceeds 0.1; corrected refit (event-level) would reduce deltaD",FALSE
"dense_Q_0.610000",0.61,0.75,269.220811177748,0.12689054667635,TRUE,"|a|,|b|<=0.1","sqrt(a^2+b^2)<=0.1","PARITY radial exceeds 0.1; corrected refit (event-level) would reduce deltaD",FALSE
"dense_Q_0.605000",0.605,0.75,271.479288583286,0.126491924748177,TRUE,"|a|,|b|<=0.1","sqrt(a^2+b^2)<=0.1","PARITY radial exceeds 0.1; corrected refit (event-level) would reduce deltaD",FALSE
"dense_Q_0.600000",0.6,0.75,274.633691438898,0.126590789999918,TRUE,"|a|,|b|<=0.1","sqrt(a^2+b^2)<=0.1","PARITY radial exceeds 0.1; corrected refit (event-level) would reduce deltaD",FALSE
"dense_Q_0.595000",0.595,0.75,277.053100060591,0.127769644229073,TRUE,"|a|,|b|<=0.1","sqrt(a^2+b^2)<=0.1","PARITY radial exceeds 0.1; corrected refit (event-level) would reduce deltaD",FALSE
"dense_Q_0.590000",0.59,0.75,278.330822796426,0.128440000065225,TRUE,"|a|,|b|<=0.1","sqrt(a^2+b^2)<=0.1","PARITY radial exceeds 0.1; corrected refit (event-level) would reduce deltaD",FALSE
"dense_Q_0.585000",0.585,0.75,276.845590042983,0.129930578584752,TRUE,"|a|,|b|<=0.1","sqrt(a^2+b^2)<=0.1","PARITY radial exceeds 0.1; corrected refit (event-level) would reduce deltaD",FALSE
"dense_Q_0.580000",0.58,0.75,271.790368760567,0.131605593592167,TRUE,"|a|,|b|<=0.1","sqrt(a^2+b^2)<=0.1","PARITY radial exceeds 0.1; corrected refit (event-level) would reduce deltaD",FALSE
"dense_Q_0.575000",0.575,0.75,265.281455125244,0.132807888585884,TRUE,"|a|,|b|<=0.1","sqrt(a^2+b^2)<=0.1","PARITY radial exceeds 0.1; corrected refit (event-level) would reduce deltaD",FALSE
"dense_Q_0.570000",0.57,0.75,257.144171752822,0.134474535408081,TRUE,"|a|,|b|<=0.1","sqrt(a^2+b^2)<=0.1","PARITY radial exceeds 0.1; corrected refit (event-level) would reduce deltaD",FALSE
"dense_Q_0.565000",0.565,0.75,250.542485995808,0.136818002622407,TRUE,"|a|,|b|<=0.1","sqrt(a^2+b^2)<=0.1","PARITY radial exceeds 0.1; corrected refit (event-level) would reduce deltaD",FALSE
"dense_Q_0.560000",0.56,0.75,247.963017628147,0.140121148104425,TRUE,"|a|,|b|<=0.1","sqrt(a^2+b^2)<=0.1","PARITY radial exceeds 0.1; corrected refit (event-level) would reduce deltaD",FALSE
"dense_Q_0.555000",0.555,0.75,250.802869356912,0.14142135623731,TRUE,"|a|,|b|<=0.1","sqrt(a^2+b^2)<=0.1","PARITY radial exceeds 0.1; corrected refit (event-level) would reduce deltaD",FALSE
"dense_Q_0.550000",0.55,0.75,258.227392447946,0.139285526769664,TRUE,"|a|,|b|<=0.1","sqrt(a^2+b^2)<=0.1","PARITY radial exceeds 0.1; corrected refit (event-level) would reduce deltaD",FALSE
"spin1_Qhalf",0.5,0.75,197.902103587342,0.106165460955909,TRUE,"|a|,|b|<=0.1","sqrt(a^2+b^2)<=0.1","PARITY radial exceeds 0.1; corrected refit (event-level) would reduce deltaD",FALSE
"spin32_Q4over9",0.444444444444444,0.75,389.72538832367,0.118191433438751,TRUE,"|a|,|b|<=0.1","sqrt(a^2+b^2)<=0.1","PARITY radial exceeds 0.1; corrected refit (event-level) would reduce deltaD",FALSE
"neutrino_like_Qthird",0.333333333333333,0.75,335.132479634161,0.131497569536531,TRUE,"|a|,|b|<=0.1","sqrt(a^2+b^2)<=0.1","PARITY radial exceeds 0.1; corrected refit (event-level) would reduce deltaD",FALSE
"threshold_Q1",1,1,156.955741441348,0.0724669536421432,FALSE,"|a|,|b|<=0.1","sqrt(a^2+b^2)<=0.1","within 0.1; parity==corrected at amplitude level",FALSE
"near_075",0.75,1,400.329086842517,0.135465503291396,TRUE,"|a|,|b|<=0.1","sqrt(a^2+b^2)<=0.1","PARITY radial exceeds 0.1; corrected refit (event-level) would reduce deltaD",FALSE
"dense_Q_0.745000",0.745,1,415.454334797208,0.14142135623731,TRUE,"|a|,|b|<=0.1","sqrt(a^2+b^2)<=0.1","PARITY radial exceeds 0.1; corrected refit (event-level) would reduce deltaD",FALSE
"dense_Q_0.740000",0.74,1,416.985885745311,0.14142135623731,TRUE,"|a|,|b|<=0.1","sqrt(a^2+b^2)<=0.1","PARITY radial exceeds 0.1; corrected refit (event-level) would reduce deltaD",FALSE
"dense_Q_0.735000",0.735,1,401.233790899082,0.140734305122474,TRUE,"|a|,|b|<=0.1","sqrt(a^2+b^2)<=0.1","PARITY radial exceeds 0.1; corrected refit (event-level) would reduce deltaD",FALSE
"dense_Q_0.730000",0.73,1,385.132727048595,0.136734421811587,TRUE,"|a|,|b|<=0.1","sqrt(a^2+b^2)<=0.1","PARITY radial exceeds 0.1; corrected refit (event-level) would reduce deltaD",FALSE
"dense_Q_0.725000",0.725,1,377.419573037416,0.133384299896061,TRUE,"|a|,|b|<=0.1","sqrt(a^2+b^2)<=0.1","PARITY radial exceeds 0.1; corrected refit (event-level) would reduce deltaD",FALSE
"dense_Q_0.720000",0.72,1,379.679296370878,0.131433853622929,TRUE,"|a|,|b|<=0.1","sqrt(a^2+b^2)<=0.1","PARITY radial exceeds 0.1; corrected refit (event-level) would reduce deltaD",FALSE
"dense_Q_0.715000",0.715,1,390.379870834953,0.13142058455323,TRUE,"|a|,|b|<=0.1","sqrt(a^2+b^2)<=0.1","PARITY radial exceeds 0.1; corrected refit (event-level) would reduce deltaD",FALSE
"dense_Q_0.710000",0.71,1,403.292830179261,0.14142135623731,TRUE,"|a|,|b|<=0.1","sqrt(a^2+b^2)<=0.1","PARITY radial exceeds 0.1; corrected refit (event-level) would reduce deltaD",FALSE
"dense_Q_0.705000",0.705,1,403.075515567314,0.14142135623731,TRUE,"|a|,|b|<=0.1","sqrt(a^2+b^2)<=0.1","PARITY radial exceeds 0.1; corrected refit (event-level) would reduce deltaD",FALSE
"dense_Q_0.700000",0.7,1,390.983892598578,0.133077746504886,TRUE,"|a|,|b|<=0.1","sqrt(a^2+b^2)<=0.1","PARITY radial exceeds 0.1; corrected refit (event-level) would reduce deltaD",FALSE
"dense_Q_0.695000",0.695,1,380.892373156604,0.129920280828377,TRUE,"|a|,|b|<=0.1","sqrt(a^2+b^2)<=0.1","PARITY radial exceeds 0.1; corrected refit (event-level) would reduce deltaD",FALSE
"dense_Q_0.690000",0.69,1,375.540067805681,0.127779671080493,TRUE,"|a|,|b|<=0.1","sqrt(a^2+b^2)<=0.1","PARITY radial exceeds 0.1; corrected refit (event-level) would reduce deltaD",FALSE
"dense_Q_0.685000",0.685,1,374.895618802855,0.127080394274984,TRUE,"|a|,|b|<=0.1","sqrt(a^2+b^2)<=0.1","PARITY radial exceeds 0.1; corrected refit (event-level) would reduce deltaD",FALSE
"dense_Q_0.680000",0.68,1,377.238928099583,0.128007373644977,TRUE,"|a|,|b|<=0.1","sqrt(a^2+b^2)<=0.1","PARITY radial exceeds 0.1; corrected refit (event-level) would reduce deltaD",FALSE
"dense_Q_0.675000",0.675,1,379.387332840629,0.130283469053172,TRUE,"|a|,|b|<=0.1","sqrt(a^2+b^2)<=0.1","PARITY radial exceeds 0.1; corrected refit (event-level) would reduce deltaD",FALSE
"dense_Q_0.670000",0.67,1,377.637114649365,0.140400672567301,TRUE,"|a|,|b|<=0.1","sqrt(a^2+b^2)<=0.1","PARITY radial exceeds 0.1; corrected refit (event-level) would reduce deltaD",FALSE
"koide_lepton",0.666666666666667,1,373.077171046471,0.135954115055866,TRUE,"|a|,|b|<=0.1","sqrt(a^2+b^2)<=0.1","PARITY radial exceeds 0.1; corrected refit (event-level) would reduce deltaD",FALSE
"dense_Q_0.665000",0.665,1,370.582337386959,0.131822743359571,TRUE,"|a|,|b|<=0.1","sqrt(a^2+b^2)<=0.1","PARITY radial exceeds 0.1; corrected refit (event-level) would reduce deltaD",FALSE
"dense_Q_0.660000",0.66,1,364.153568289075,0.129366383634924,TRUE,"|a|,|b|<=0.1","sqrt(a^2+b^2)<=0.1","PARITY radial exceeds 0.1; corrected refit (event-level) would reduce deltaD",FALSE
"dense_Q_0.655000",0.655,1,360.268268608604,0.127153566193038,TRUE,"|a|,|b|<=0.1","sqrt(a^2+b^2)<=0.1","PARITY radial exceeds 0.1; corrected refit (event-level) would reduce deltaD",FALSE
"low_bw_empirical",0.65,1,358.596213005502,0.125516429184241,TRUE,"|a|,|b|<=0.1","sqrt(a^2+b^2)<=0.1","PARITY radial exceeds 0.1; corrected refit (event-level) would reduce deltaD",FALSE
"dense_Q_0.645000",0.645,1,355.839759314841,0.126152360612001,TRUE,"|a|,|b|<=0.1","sqrt(a^2+b^2)<=0.1","PARITY radial exceeds 0.1; corrected refit (event-level) would reduce deltaD",FALSE
"dense_Q_0.640000",0.64,1,352.378396647163,0.125405521304695,TRUE,"|a|,|b|<=0.1","sqrt(a^2+b^2)<=0.1","PARITY radial exceeds 0.1; corrected refit (event-level) would reduce deltaD",FALSE
"dense_Q_0.635000",0.635,1,344.202004256863,0.124480203636661,TRUE,"|a|,|b|<=0.1","sqrt(a^2+b^2)<=0.1","PARITY radial exceeds 0.1; corrected refit (event-level) would reduce deltaD",FALSE
"quark_like",0.63026,1,334.307393419817,0.124938045558601,TRUE,"|a|,|b|<=0.1","sqrt(a^2+b^2)<=0.1","PARITY radial exceeds 0.1; corrected refit (event-level) would reduce deltaD",FALSE
"dense_Q_0.630000",0.63,1,333.715909459107,0.125005362568635,TRUE,"|a|,|b|<=0.1","sqrt(a^2+b^2)<=0.1","PARITY radial exceeds 0.1; corrected refit (event-level) would reduce deltaD",FALSE
"dense_Q_0.625000",0.625,1,324.608596276701,0.124675248840552,TRUE,"|a|,|b|<=0.1","sqrt(a^2+b^2)<=0.1","PARITY radial exceeds 0.1; corrected refit (event-level) would reduce deltaD",FALSE
"dense_Q_0.620000",0.62,1,318.150316225286,0.123841860099077,TRUE,"|a|,|b|<=0.1","sqrt(a^2+b^2)<=0.1","PARITY radial exceeds 0.1; corrected refit (event-level) would reduce deltaD",FALSE
"dense_Q_0.615000",0.615,1,314.630465387654,0.123997553734107,TRUE,"|a|,|b|<=0.1","sqrt(a^2+b^2)<=0.1","PARITY radial exceeds 0.1; corrected refit (event-level) would reduce deltaD",FALSE
